genres,genre_id
"Fiction;Mystery,Crime;Mystery;Mystery,Noir;Art;Novels;Thriller;Literature,20th Century;Literature,American;Thriller,Mystery Thriller",99
"Fiction;Novels;Contemporary;Academic,College;Literary Fiction;Young Adult,Coming Of Age;Literature;Literature,American;Audiobook;Young Adult",100
"Poetry;Childrens;Childrens,Picture Books",101
Poetry;Childrens;Humor;Anthologies;Fiction,102
"Language,Writing;Nonfiction;Biography;Writing,Essays;Literature;Philosophy;Literature,American;Classics;Reference;Literature,20th Century",103
"Fiction;Literature;Classics;Novels;Adult Fiction,Erotica;Literature,American;Literature,20th Century;Cultural,France;The United States Of America;Classics,Modern Classics",104
"Fiction;Classics;Literature;Novels;Literature,American;Literature,Banned Books;Adult Fiction,Erotica;Literature,20th Century;Literary Fiction;Cultural,France",105
"Fiction;Classics;Literature;Novels;Literature,American;Adult Fiction,Erotica;The United States Of America;Literary Fiction;Literature,Banned Books;Sexuality",106
"Fiction;Literature;Classics;Novels;Literature,American;Adult Fiction,Erotica;The United States Of America;Literature,20th Century;Literary Fiction;Contemporary",107
"Fiction;Classics;Literature;Novels;Adult Fiction,Erotica;Literature,American;Literature,20th Century;The United States Of America;Roman;Sexuality",108
"Fiction;Travel;Literature;Writing,Essays;Classics;Novels;The United States Of America;Literature,American;Literature,20th Century;American,Americana",109
"Classics;Fiction;Literature;Literature,19th Century;Novels;Historical,Historical Fiction;Romance;Literature,American;Classics,Classic Literature;Historical,Victorian",110
"Nonfiction;Language,Writing;Cultural,France;Writing,Essays;Literature;Womens;European Literature,French Literature;Short Stories;Biography;Academic,School",111
"Cultural,France;Nonfiction;Autobiography,Memoir;History;War;European Literature,French Literature;War,World War II;Biography;Biography Memoir;Biography,Autobiography",112
"Fiction;Cultural,France;Classics;European Literature,French Literature;Novels;Literature;Literary Fiction;Roman;Literature,20th Century;Womens",113
Poetry;Nonfiction;Romance,114
Biography;History,115
Poetry;Philosophy;Classics;Fiction;Literature;Spirituality;Romance,116
"Poetry;Religion;Fiction;Philosophy;Classics;Spirituality;Literature;Religion,Christianity;Christian;Religion,Theology",117
"Classics;Poetry;Fiction;Romance;Novels;Philosophy;Literature;Spirituality;Cultural,Lebanon;Short Stories",118
"Poetry;Philosophy;Classics;Fiction;Literature;Spirituality;Religion;Literature,20th Century;Cultural,Lebanon;Audiobook",119
"Classics;Fiction;Adventure;Historical,Historical Fiction;Young Adult;Childrens;Adventure,Pirates;Literature;Fantasy;Novels",120
"Classics;Fiction;Adventure;Childrens;Adventure,Pirates;Young Adult;Historical,Historical Fiction;Literature;Childrens,Chapter Books;Historical",121
"History;Race;Nonfiction;Cultural,African American;Mystery,Crime;Politics;North American Hi...,American History",122
"Fiction;Classics;Magical Realism;Literature;Fantasy;Novels;Historical,Historical Fiction;European Literature,Spanish Literature;Literary Fiction;Cultural,Latin American",123
"Childrens,Picture Books;Childrens;Fiction;Poetry;Classics;Animals;Humor;Fantasy;Childrens,Juvenile;Academic,School",124
"Romance;Romance,Historical Romance;Historical,Regency;Historical;Historical,Historical Fiction;Romance,Clean Romance",125
"Realistic Fiction;Childrens,Middle Grade;Childrens;Fiction;Young Adult",126
"Fiction;Classics;Historical,Historical Fiction;Horror;Mystery;Thriller;Mystery,Crime;European Literature,German Literature;Historical;Novels",127
"Science Fiction;Fiction;Science Fiction,Time Travel;Science Fiction Fantasy;Fantasy;Classics;Speculative Fiction;Audiobook;Adventure;Novels",128
Science Fiction;Fiction;Classics;Science Fiction Fantasy;Fantasy;Novels;Speculative Fiction;Philosophy;Audiobook;Religion,129
"Science Fiction;Fiction;Science Fiction Fantasy;Fantasy;Science Fiction,Time Travel;Speculative Fiction;Audiobook;Classics;Adventure;Novels",130
"Science Fiction;Fiction;Fantasy;Science Fiction Fantasy;Humor;Religion;Speculative Fiction;Humor,Comedy;Adventure;Novels",131
"Science Fiction;Fiction;Young Adult;Science Fiction Fantasy;Adventure;Audiobook;Childrens,Juvenile;Classics;Speculative Fiction;Fantasy",132
"Fiction;Fantasy;Science Fiction;Humor;Mystery;Humor,Comedy;Science Fiction Fantasy;Audiobook;Novels;European Literature,British Literature",133
"Science Fiction;Fiction;Humor;Fantasy;Humor,Comedy;Short Stories;Writing,Essays;Science Fiction Fantasy;Audiobook;Mystery",134
Biography;Nonfiction;Humor;Biography Memoir;Unfinished;History;Own,135
"Science Fiction;Fiction;Humor;Fantasy;Humor,Comedy;Science Fiction Fantasy;Space;Adventure;Novels;Science Fiction,Aliens",136
"Plays;Academic,Read For School;Fantasy;Childrens",137
"Philosophy;Nonfiction;Writing,Essays;Humor;Psychology;Politics;Humanities,Language;Sociology;Cultural;Audiobook",138
