Author,author_id
John Banville,61
Eliot Ness/Oscar Fraley,62
Narendra Jadhav,63
V.T. Rajshekar/Y.N. Kly,64
Vasant Moon/Gail Omvedt/Eleanor Zelliot,65
Barry R. Cournoyer,66
John Carratello/Patty Carratello/Theresa Wright,67
George Smoot/Keay Davidson,68
Madeleine L'Engle,69
Tara MacCarthy,70
Cynthia Harrod-Eagles,71
Charles Todd,72
Ewan McGregor/Charley Boorman/Robert Uhlig,73
Daniel Abraham,74
Charles Willeford/James Lee Burke,75
Charles Willeford/Lawrence Block,76
Charles Willeford/Elmore Leonard,77
Charles Willeford,78
Tom Wolfe,79
Edward Lear/Laura Huliska-Beith/Edward Mendelson,80
Quentin Blake,81
Henry Miller/Thomas H. Moore,82
Henry Miller,83
Henry Miller/Jiří Níl,84
Henry James/Patricia Crick,85
Henry James/Gabriel Brownstein/Mary Cregan,86
Marguerite Duras,87
Marguerite Duras/Barbara Bray,88
Marguerite Duras/Richard Seever,89
Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,90
Jean Gibran/جبران خليل جبران/Kahlil Gibran,91
Kahlil Gibran/John Walbridge/Robin Waterfield,92
Kahlil Gibran/جبران خليل جبران,93
Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,94
Robert Louis Stevenson,95
Robert Louis Stevenson/Scott McKowen,96
Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,97
Robert Louis Stevenson/Milo Winter,98
Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,99
Ralph Ginzburg,100
Gabriel García Márquez,101
Dr. Seuss,102
Debbie Raleigh,103
Kevin Henkes,104
Patrick Süskind,105
Robert A. Heinlein,106
Nick  Webb,107
Terry Jones,108
Douglas Adams/Christopher Cerf,109
Susan Nanus/Norton Juster,110
Harry G. Frankfurt,111
Nick Flynn,112
Garry Wills,113
Abraham Lincoln/Michael McCurdy,114
Don DeLillo,115
Thomas Pynchon,116
Thomas Pynchon/Christophe Claro/Brice Matthieussent,117
Richard Fariña/Thomas Pynchon,118
Joan Didion,119
Joan Didion/John Leonard,120
Joan Didion/David Thomson,121
Paul Auster/Art Spiegelman/Luc Sante,122
Paul Auster,123
Peter Moon/Preston B. Nichols/Nina Helms,124
Jared Diamond,125
Stephen Leeb/Glen C. Strathy,126
Joseph A. Tainter,127
Robert D. Putnam,128
Philip K. Howard,129
Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,130
Nikola Tesla,131
Marc J.  Seifer/William H. Terbo,132
Carol Dommermuth-Costa,133
Nikola Tesla/David Hatcher Childress,134
Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,135
Dave Thomas/Chad Fowler/Andy Hunt,136
Maureen Kelly/CliffsNotes/William Golding,137
William Golding,138
Victor Davis Hanson,139
Ephraim Sevela/Antonina W. Bouis,140
Alice Sebold,141
Sharyn McCrumb,142
Dave Shea/Molly E. Holzschlag,143
Elizabeth Castro,144
Michael Ochs/Patrick Javault/Ulrike Wasel,145
Chuck Klosterman,146
Jane Feather,147
Robert M. Pirsig,148
Kevin O'Malley/Carol Heyer/Scott Goto,149
Ronald L. DiSanto/Thomas J. Steele,150
John Harold Haynes,151
Catharine M. Fishel/Bill Gardner,152
Leo Tolstoy/Hugh McLean,153
Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,154
Leo Tolstoy/Constance Garnett,155
Ayn Rand/Leonard Peikoff,156
Ayn Rand,157
Ayn Rand/Nathaniel Branden,158
Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,159
Ayn Rand/Michael S. Berliner/Leonard Peikoff,160
J.J. Isler/Peter Isler,161
Colin  Wells,162
Billy Collins,163
Christopher Caswell,164
Kevin Trudeau,165
Bernard Malamud/Kevin Baker,166
Anne Tyler,167
Gary Colombo/Bonnie Lisle,168
Thomas E. Skidmore/Peter H. Smith,169
Philip Roth,170
Jon   Stewart,171
